Название,Цена,Описание,Расположение,Создано,Ссылка
Gigabyte gtx 1060 3gb,10000,Бу.,Проспект Славы,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gtx_1060_3gb_2438038784
Видеокарта gtx 1060 3gb evga,10000,"Карте год с небольшим, работает без нареканий, не вскрывал все пломбы на месте, чистил один раз через кулер, привезена из Usa, продаю за ненадобностью.",р-н Красносельский,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb_evga_2477962828
Видеокарта gtx 1060 3gb asus,10000,"Отломана одна лопасть при чистке, а так полностью исправна, не майнил.",Автово,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb_asus_2478543463
Видеокарта gtx 1060 3gb,10000,Продаю видеокарту с монтажного компьютера. Работала в минимальных нагрузках. Включалась при рендеры видео. Готов провести тесты и проверки.,Площадь Ленина,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb_2437704876
MSI GTX 1060 5gb,10000,"Msi 1060 5gb. Полностью рабочая, в эксплуатации больше года. Бралась на али, не вскрывалась, пломбы на месте. Чистка каждые 3 месяца сжатым воздухом. В своё время брал на смену 1060 3gb. И там, где трёх гигов памяти не хватало — сейчас всё стало сильно плавнее, ушли микрофризы. Как пример — Final Fantasy XV стало играть сильно приятнее, на высоких без чудо-волос стабильно 45-50 без просадок, что на трёх гигах периодически случались. Тянет современные игрушки в Fhd вполне на высоких, памяти в 5gb хватает с запасом, что бы не долбиться в оперативку. Карта и так холодная, а система охлаждения с теплотрубкой и двумя вертушками не даёт подняться температуре при длительном гейминге выше 70. Вертушки работают тихо, без шумов и вибраций. Сейчас стоит в системнике. Любые тесты и проверки. За карту не стыдно. Оплата предпочтительна переводом или наличными, с доставкой Авито не хочу связываться. Самовывоз или по договорённости доставка до станций метро Ул. Дыбенко, Пр. Большевиков, Новочеркасская, Московская. Лучше звоните.",Проспект Большевиков,3 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/msi_gtx_1060_5gb_2464859657
Nvidia GeForce GTX 1060 6GB (требует ремонта),10000,"Видеокарта показывает картинку, но выдаёт артефакты. Использовалась в компьютере на работе, попробовали помайнить 2 месяца, после этого как стала выдавать артефакты. Коробка и сирийники сфотографировал для подтверждения. Периодически показывает нормально, периодически с артефактами. Для тех кто разбирается и умеет ремонтировать. Артефакты в виде небольших полосок, на фото.",Ломоносовская,3 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/nvidia_geforce_gtx_1060_6gb_trebuet_remonta_2101909679
Gtx 1060 3gb asus,10000,"Любые проверки, полный комплект.",Улица Дыбенко,3 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/gtx_1060_3gb_asus_2423414536
Игровой компьютер пк i3 i5 i7 GTX 1050 1050ti 1060,10000,"Соберем ПК из любых комплектующих, на ваш вкус. Windows, все драйвера, Полностью готов к работе! Большой выбор корпусов, есть корпуса с Led подсветкой. 1. Процессор I3 4130 2-ядерный. 4 потока. Видеокарта R5230. Материнская плата Asus / Gigabyte. Оперативная память 8gb +8 gb 2999 руб. Жесткий диск Hdd либо Ssd. Цена: 12000 руб. 2. Процессор i5 4460 4-ядерный, 4 потока. Видеокарта gtx750. Материнская плата Asus / Gigabyte. Оперативная память 8gb +8 gb 2999 руб. Жесткий диск Hdd либо Ssd. Цена: 20000 руб. 3. Процессор i7 6700 4-ядерный. Видеокарта. Материнская плата Asus / Gigabyte. Оперативная память 8gb +8 gb 2999 руб. Жесткий диск Ssd и Hdd. Цена: 35000 руб. Также есть персональные компьютеры: для учебы, стрима, видеомонтажа, работы с видеоредакторами, фоторедакторами, рабочими программами типа autocad, 1C и подобными. Наши преимущества: Правильный подбор деталей, исключает несовместимость; Установка Windows. Установка драйверов, необходимых для работы и игр. Комплексный Стресс-тест компьютера, для выявления брака на стадии сборки; Кассовый и товарный чеки. Гарантия 1 год + Сервисное обслуживание 1 год. Принимаем технику в зачет новой. Принимаем наличные, Банковские карты, Возможна продажа юридическим лицам. Магазин работает на доставку и самовывоз с 10.00-20.00 Пн-Пн, с 12-18 Сб-Вс. Самовывоз метро Новочеркасская, Новочеркасский проспект 36. Доставка по городу! Привезем технику к Вам, попробуете на месте!",Новочеркасская,13 июня 10:28,https://www.avito.ru/sankt-peterburg/nastolnye_kompyutery/igrovoy_kompyuter_pk_i3_i5_i7_gtx_1050_1050ti_1060_2285337339
Gtx 1060,10300,"Продаю видеокарту Nvidia geforce gtx 1060 3gb видеокарта тянет множество игр на ультрах и высоких настройках графики, недавно была поменяна термопаста, продаю по причине приобретения новой, видеокарта в майнинге не использовалась.",Рыбацкое,4 дня назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/gtx_1060_2480173449
Видеокарта msi gtx 1060 3gb,10499,"Продаю видеокарту по причине ненадобности. Использовалась около года, не майнилась. Обмен и торг не актуальны.",Московские ворота,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_msi_gtx_1060_3gb_2478171332
